NO,KD_CAB,JENIS_KANTOR,KLASIFIKASI,NAMA_KANTOR,STATUS
112,331,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM TANJUNG BALAI,AKTIF
113,332,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM PULAU RAKYAT,AKTIF
114,333,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SIMPANG EMPAT,AKTIF
115,334,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS AIR BATU,AKTIF
116,340,CABANG,CABANG KELAS 2,CABANG PANYABUNGAN,AKTIF
117,341,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM KOTANOPAN,AKTIF
118,342,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM NATAL,AKTIF
119,343,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS KANTOR BUPATI MADINA,AKTIF
120,344,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3 MIKRO,CAPEM PASAR PANYABUNGAN,AKTIF
121,345,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SIMPANG GAMBIR,AKTIF
122,346,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM SINUNUKAN,AKTIF
123,106,CABANG,CABANG KELAS 1,CABANG LUBUK PAKAM,AKTIF
124,107,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM TANJUNG MORAWA,AKTIF
125,118,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM GALANG,AKTIF
126,126,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS BAPENDA DELI SERDANG,AKTIF
127,130,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM BERINGIN,AKTIF
128,301,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 1,CAPEM PERBAUNGAN,AKTIF
129,154,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS BANGUN PURBA,AKTIF
130,159,KANTOR KAS,CABANG PEMBANTU KELAS 4,KANTOR KAS PANTAI LABU,AKTIF
131,372,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM TALUN KENAS,AKTIF
132,311,CABANG,CABANG KELAS 1,CABANG STABAT,AKTIF
133,312,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 2,CAPEM PANGKALAN BRANDAN,AKTIF
134,313,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM TANJUNG PURA,AKTIF
135,318,CABANG PEMBANTU KONVENSIONAL,CABANG PEMBANTU KELAS 3,CAPEM PANGKALAN SUSU,AKTIF
